2015-09-01T02:00:00, Slot A, heavy traffic, other, Slot B
2015-09-02T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, won`t start, other, heavy traffic
2016-01-04T01:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic, other, mechanical problem
2016-01-05T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, other, won`t start
2016-01-06T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, heavy traffic, won`t start
2016-01-07T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-01-08T01:00:00, Slot A, heavy traffic, other, problem run, Slot B, won`t start, heavy traffic, mechanical problem
2016-01-11T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, other
2016-01-12T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, mechanical problem, heavy traffic
2016-01-13T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, other, heavy traffic
2016-01-14T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-01-15T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-01-19T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2016-01-20T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, heavy traffic, won`t start
2016-01-21T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-01-22T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-01-25T01:00:00, Slot A, weather conditions, heavy traffic, other, Slot B, weather conditions, heavy traffic, won`t start
2016-01-26T01:00:00, Slot A, heavy traffic, weather conditions, other, Slot B, heavy traffic, mechanical problem, other
2016-01-27T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-01-28T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2016-01-29T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-02-01T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-02-02T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, mechanical problem, heavy traffic
2016-02-03T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2016-02-04T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, mechanical problem
2016-02-05T01:00:00, Slot A, weather conditions, heavy traffic, other, Slot B, heavy traffic, mechanical problem, other
2016-02-08T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, mechanical problem
2016-02-09T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, mechanical problem
2016-02-10T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2016-02-11T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2016-02-12T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2016-02-16T01:00:00, Slot A, other, weather conditions, mechanical problem, Slot B, mechanical problem, won`t start, weather conditions
2016-02-17T01:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic
2016-02-18T01:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B,
2016-02-19T01:00:00, Slot A, heavy traffic, flat tire, won`t start, Slot B, won`t start, other,
2016-02-22T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-02-23T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, mechanical problem
2016-02-24T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-02-25T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, mechanical problem
2016-02-26T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, mechanical problem
2016-02-29T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2016-03-01T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, heavy traffic, late return from field trip
2016-03-02T01:00:00, Slot A, heavy traffic, other, problem run, Slot B, heavy traffic, late return from field trip, other
2016-03-03T01:00:00, Slot A, heavy traffic, other, won`t start, Slot B, other, heavy traffic, accident
2016-03-04T01:00:00, Slot A, heavy traffic, other, weather conditions, Slot B, late return from field trip, other, won`t start
2016-03-07T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, won`t start, heavy traffic
2016-03-08T01:00:00, Slot A, heavy traffic, other, problem run, Slot B, heavy traffic, mechanical problem, won`t start
2016-03-09T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, mechanical problem
2016-03-10T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-03-11T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-03-14T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2016-03-15T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, flat tire
2016-03-16T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2016-03-17T01:00:00, Slot A, heavy traffic, other, flat tire, Slot B, heavy traffic, mechanical problem, other
2016-03-18T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2016-03-21T01:00:00, Slot A, heavy traffic, other, weather conditions, Slot B, other, mechanical problem, heavy traffic
2016-03-22T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, won`t start
2016-03-23T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2016-03-24T01:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-03-28T02:00:00, Slot A, heavy traffic, other, weather conditions, Slot B, mechanical problem, heavy traffic, other
2016-03-29T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2016-03-30T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-03-31T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2016-04-01T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2016-04-04T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic, mechanical problem, won`t start
2016-04-05T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2016-04-06T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2016-04-07T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2016-04-08T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2016-04-11T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-04-12T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic, won`t start, other
2016-04-13T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, late return from field trip, heavy traffic, other
2016-04-14T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2016-04-15T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2016-04-18T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-04-19T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2016-04-20T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2016-04-21T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, late return from field trip, heavy traffic, mechanical problem
2016-04-22T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2016-04-25T02:00:00, Slot A, heavy traffic, Slot B, heavy traffic
2016-04-26T02:00:00, Slot A, won`t start, Slot B, other, mechanical problem,
2016-04-27T02:00:00, Slot A, heavy traffic, other, Slot B, mechanical problem,
2016-04-28T02:00:00, Slot A, mechanical problem, flat tire, other, Slot B,
2016-04-29T02:00:00, Slot A, won`t start, mechanical problem, Slot B, won`t start,
2016-05-02T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic, won`t start, late return from field trip
2016-05-03T02:00:00, Slot A, heavy traffic, weather conditions, other, Slot B, heavy traffic, other, late return from field trip
2016-05-04T02:00:00, Slot A, heavy traffic, weather conditions, other, Slot B, heavy traffic, late return from field trip, other
2016-05-05T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic, late return from field trip, mechanical problem
2016-05-06T02:00:00, Slot A, heavy traffic, weather conditions, other, Slot B, heavy traffic, mechanical problem, late return from field trip
2016-05-09T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-05-10T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2016-05-11T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, late return from field trip, heavy traffic, mechanical problem
2016-05-12T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2016-05-13T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2016-05-16T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2016-05-17T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2016-05-18T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2016-05-19T02:00:00, Slot A, heavy traffic, other, flat tire, Slot B, late return from field trip, heavy traffic, other
2016-05-20T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2016-05-23T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, late return from field trip, heavy traffic, other
2016-05-24T02:00:00, Slot A, heavy traffic, weather conditions, other, Slot B, late return from field trip, heavy traffic, other
2016-05-25T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic, late return from field trip, mechanical problem
2016-05-26T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2016-05-27T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, late return from field trip, heavy traffic, won`t start
2016-05-31T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, won`t start
2016-06-01T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, late return from field trip, heavy traffic, other
2016-06-02T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, late return from field trip, heavy traffic, other
2016-06-03T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, other
2016-06-06T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, late return from field trip, heavy traffic, mechanical problem
2016-06-07T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, late return from field trip, heavy traffic, other
2016-06-08T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, late return from field trip, mechanical problem
2016-06-09T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, mechanical problem, flat tire, other
2016-06-10T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, late return from field trip, heavy traffic, mechanical problem
2016-06-13T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, other
2016-06-14T02:00:00, Slot A, heavy traffic, other, flat tire, Slot B, mechanical problem, heavy traffic, other
2016-06-15T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, heavy traffic, other
2016-06-16T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, mechanical problem
2016-06-17T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, won`t start
2016-06-20T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-06-21T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-06-22T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-06-23T02:00:00, Slot A, heavy traffic, mechanical problem, won`t start, Slot B, heavy traffic, other, mechanical problem
2016-06-24T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-06-27T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic, mechanical problem, flat tire
2016-06-28T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic, other, accident
2016-06-29T02:00:00, Slot A, heavy traffic, mechanical problem, Slot B, mechanical problem, heavy traffic
2016-06-30T02:00:00, Slot A, heavy traffic, Slot B, other
2016-07-01T02:00:00, Slot A, heavy traffic, won`t start, Slot B, heavy traffic,
2016-07-05T02:00:00, Slot A, heavy traffic, other, weather conditions, Slot B, mechanical problem, heavy traffic, other
2016-07-06T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, flat tire, accident
2016-07-07T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, won`t start, other, heavy traffic
2016-07-08T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-07-11T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, mechanical problem
2016-07-12T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic, won`t start, other
2016-07-13T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, other
2016-07-14T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic, other, won`t start
2016-07-15T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, flat tire
2016-07-18T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-07-19T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, mechanical problem
2016-07-20T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, mechanical problem
2016-07-21T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, late return from field trip
2016-07-22T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-07-25T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-07-26T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, other, mechanical problem
2016-07-27T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, other
2016-07-28T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-07-29T02:00:00, Slot A, heavy traffic, weather conditions, other, Slot B, heavy traffic, mechanical problem, won`t start
2016-08-01T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, other, won`t start, heavy traffic
2016-08-02T02:00:00, Slot A, heavy traffic, other, flat tire, Slot B, other, heavy traffic, won`t start
2016-08-03T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-08-04T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-08-05T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, late return from field trip
2016-08-08T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, other, heavy traffic, won`t start
2016-08-09T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic, other, won`t start
2016-08-10T02:00:00, Slot A, heavy traffic, other, won`t start, Slot B, heavy traffic, won`t start, weather conditions
2016-08-11T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, won`t start, flat tire
2016-08-12T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, other, won`t start
2016-08-15T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, won`t start
2016-08-16T02:00:00, Slot A, heavy traffic, other, flat tire, Slot B, heavy traffic, other, flat tire
2016-08-17T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B,
2016-08-18T02:00:00, Slot A, heavy traffic, Slot B,
2016-08-19T02:00:00, Slot A, mechanical problem, heavy traffic, Slot B
2016-08-22T02:00:00, Slot A, heavy traffic, Slot B,
2016-08-23T02:00:00, Slot A, other, heavy traffic, Slot B, accident,
2016-08-24T02:00:00, Slot A, heavy traffic, Slot B, heavy traffic
2016-08-26T02:00:00, Slot A, heavy traffic, Slot B,
2016-08-29T02:00:00, Slot A, heavy traffic, Slot B, flat tire
2016-08-31T02:00:00, Slot A, heavy traffic, Slot B,
2016-09-01T02:00:00, Slot A, heavy traffic, flat tire, won`t start, Slot B, heavy traffic
2016-09-02T02:00:00, Slot A, heavy traffic, flat tire, problem run, Slot B, heavy traffic
2016-09-06T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, flat tire
2016-09-07T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, mechanical problem, heavy traffic, won`t start
2016-09-08T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-09-09T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, other
2016-09-12T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, mechanical problem, won`t start, heavy traffic
2016-09-13T02:00:00, Slot A, heavy traffic, other, mechanical problem, Slot B, heavy traffic, mechanical problem, other
2016-09-14T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, mechanical problem, won`t start
2016-09-15T02:00:00, Slot A, heavy traffic, other, problem run, Slot B, heavy traffic, won`t start, flat tire
2016-09-16T02:00:00, Slot A, heavy traffic, mechanical problem, other, Slot B, heavy traffic, other, won`t start
2016-09-19T02:00:00, Slot A, heavy traffic, other, weather conditions, Slot B, mechanical problem, heavy traffic, other
